,start_tracking_at_element,q0,mass0,p0c,gamma0,beta0,s,x,y,px,py,zeta,chi,charge_ratio,weight,particle_id,at_element,at_turn,state,parent_particle_id,_rng_s1,_rng_s2,_rng_s3,_rng_s4,delta,ptau,rvv,rpp
50,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003254091284234441,0.00019416823411657353,-1.050359058106304e-05,2.323000574479917e-06,7.3900444013890185e-06,1.0,1.0,0.0,50,0,0,1,50,0,0,0,0,0.0002700005149354201,0.0002700005125106292,1.000000000004849,0.9997300723656648
51,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002845359845337612,0.00034846862859886713,-9.734598045399966e-06,4.178626387888535e-06,6.731608989889802e-06,1.0,1.0,0.0,51,0,0,1,51,0,0,0,0,0.0002700005312374909,0.0002700005288126177,1.000000000004849,0.9997300723493716
52,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0002154458899419795,0.0004832418200974146,-8.435172384186329e-06,5.799297978175224e-06,5.615058151230828e-06,1.0,1.0,0.0,52,0,0,1,52,0,0,0,0,0.0002700005210498624,0.000270000518625091,1.000000000004849,0.9997300723595537
53,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00012284722041774906,0.0005893032383348193,-6.693867308831402e-06,7.074569254748381e-06,4.1164829798792e-06,1.0,1.0,0.0,53,0,0,1,53,0,0,0,0,0.00027000048506709007,0.000270000482642312,1.000000000004849,0.999730072395517
54,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,1.3050422262609341e-05,0.0006594249729329835,-4.6293498825779215e-06,7.917532587594978e-06,2.338008897249968e-06,1.0,1.0,0.0,54,0,0,1,54,0,0,0,0,0.0002700004257412125,0.0002700004233164478,1.000000000004849,0.9997300724548109
55,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003315567637491859,0.0001959552509571921,-1.0619164896406611e-05,2.3445149250800527e-06,7.489784424315963e-06,1.0,1.0,0.0,55,0,0,1,55,0,0,0,0,0.000270000519967839,0.00027000051754308483,1.000000000004849,0.9997300723606352
56,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00029013128007721007,0.0003523407859054626,-9.839780569721064e-06,4.2252167629941925e-06,6.822451236985676e-06,1.0,1.0,0.0,56,0,0,1,56,0,0,0,0,0.0002700005364901781,0.00027000053406537054,1.000000000004849,0.9997300723441217
57,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.00022010753555851237,0.000488935236748585,-8.522795102274809e-06,5.867789320717188e-06,5.6908118734799585e-06,1.0,1.0,0.0,57,0,0,1,57,0,0,0,0,0.0002700005261648819,0.0002700005237401745,1.000000000004849,0.9997300723544414
58,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0001262575326623329,0.0005964299173946034,-6.757958877252923e-06,7.1602939929197136e-06,4.171985686299256e-06,1.0,1.0,0.0,58,0,0,1,58,0,0,0,0,0.00027000048969605395,0.0002700004872711418,1.000000000004849,0.9997300723908906
59,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,1.4976993991583206e-05,0.0006674992430008507,-4.665542566860884e-06,8.014648722156126e-06,2.36947817012098e-06,1.0,1.0,0.0,59,0,0,1,59,0,0,0,0,0.00027000042956837333,0.0002700004271435767,1.000000000004849,0.9997300724509858
60,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.0003377043990749278,0.00019774226779781064,-1.0734739211750182e-05,2.366029275680188e-06,7.589524447242908e-06,1.0,1.0,0.0,60,0,0,1,60,0,0,0,0,0.00027000052500048,0.0002700005225755405,1.000000000004849,0.9997300723556052
61,-1,1.0,938272088.16,6999999937117.534,7460.522473526161,0.9999999910167907,0.0,0.000295726575620659,0.0003562129432120581,-9.944963094042163e-06,4.27180713809985e-06,6.9132934840815515e-06,1.0,1.0,0.0,61,0,0,1,61,0,0,0,0,0.00027000054174286525,0.0002700005393181233,1.000000000004849,0.9997300723388719
